"alpha3","country","date","cases","new_cases","deaths","population","casesPer100k","deathsPer100k","Income group","Continent","Region"
"VNM","Vietnam",2020-04-02,233,15,0,97339000,0.2,0,"Lower middle income","Asia","South-eastern Asia"
"ZMB","Zambia",2020-04-02,39,3,1,18384000,0.2,0,"Lower middle income","Africa","Eastern Africa"
"ZWE","Zimbabwe",2020-04-02,9,1,1,14863000,0.1,0,"Lower middle income","Africa","Eastern Africa"
"AFG","Afghanistan",2020-04-03,281,8,6,38928000,0.7,0,"Low income","Asia","Southern Asia"
"ALB","Albania",2020-04-03,304,27,17,2878000,10.6,0.6,"Upper middle income","Europe","Southern Europe"
"DZA","Algeria",2020-04-03,1171,185,105,43851000,2.7,0.2,"Upper middle income","Africa","Northern Africa"
"AND","Andorra",2020-04-03,439,11,16,77000,570.1,20.8,"High income","Europe","Southern Europe"
"AGO","Angola",2020-04-03,8,0,2,32866000,0,0,"Lower middle income","Africa","Middle Africa"
"ATG","Antigua and Barbuda",2020-04-03,15,6,0,98000,15.3,0,"High income","North America","Caribbean"
"ARG","Argentina",2020-04-03,1265,132,39,45196000,2.8,0.1,"Upper middle income","South America","South America"
"ARM","Armenia",2020-04-03,736,73,7,2963000,24.8,0.2,"Upper middle income","Asia","Western Asia"
"AUS","Australia",2020-04-03,5330,214,28,25500000,20.9,0.1,"High income","Oceania","Australia and New Zealand"
"AUT","Austria",2020-04-03,11524,395,168,9006000,128,1.9,"High income","Europe","Western Europe"
"AZE","Azerbaijan",2020-04-03,443,43,5,10139000,4.4,0,"Upper middle income","Asia","Western Asia"
"BHR","Bahrain",2020-04-03,672,29,4,1702000,39.5,0.2,"High income","Asia","Western Asia"
"BGD","Bangladesh",2020-04-03,61,5,6,164689000,0,0,"Lower middle income","Asia","Southern Asia"
"BRB","Barbados",2020-04-03,51,5,0,287000,17.8,0,"High income","North America","Caribbean"
"BLR","Belarus",2020-04-03,351,47,4,9449000,3.7,0,"Upper middle income","Europe","Eastern Europe"
"BEL","Belgium",2020-04-03,16770,1422,1143,11590000,144.7,9.9,"High income","Europe","Western Europe"
"BLZ","Belize",2020-04-03,4,1,0,398000,1,0,"Upper middle income","North America","Central America"
"BEN","Benin",2020-04-03,16,3,0,12123000,0.1,0,"Low income","Africa","Western Africa"
"BTN","Bhutan",2020-04-03,5,0,0,772000,0.6,0,"Lower middle income","Asia","Southern Asia"
"BOL","Bolivia",2020-04-03,132,9,9,11673000,1.1,0.1,"Lower middle income","South America","South America"
"BIH","Bosnia and Herzegovina",2020-04-03,579,46,17,3281000,17.6,0.5,"Upper middle income","Europe","Southern Europe"
"BWA","Botswana",2020-04-03,4,0,1,2352000,0.2,0,"Upper middle income","Africa","Southern Africa"
"BRA","Brazil",2020-04-03,9056,1012,359,212559000,4.3,0.2,"Upper middle income","South America","South America"
"BRN","Brunei",2020-04-03,134,1,1,437000,30.7,0.2,"High income","Asia","South-eastern Asia"
"BGR","Bulgaria",2020-04-03,485,28,14,6948000,7,0.2,"Upper middle income","Europe","Eastern Europe"
"BFA","Burkina Faso",2020-04-03,302,14,16,20903000,1.4,0.1,"Low income","Africa","Western Africa"
"BDI","Burundi",2020-04-03,3,0,0,11891000,0,0,"Low income","Africa","Eastern Africa"
"KHM","Cambodia",2020-04-03,114,4,0,16719000,0.7,0,"Lower middle income","Asia","South-eastern Asia"
"CMR","Cameroon",2020-04-03,509,203,8,26546000,1.9,0,"Lower middle income","Africa","Middle Africa"
"CAN","Canada",2020-04-03,12437,1153,179,37742000,33,0.5,"High income","North America","Northern America"
"CPV","Cape Verde",2020-04-03,6,0,1,556000,1.1,0.2,"Lower middle income","Africa","Western Africa"
"CAF","Central African Republic",2020-04-03,8,5,0,4830000,0.2,0,"Low income","Africa","Middle Africa"
"TCD","Chad",2020-04-03,8,0,0,16426000,0,0,"Low income","Africa","Middle Africa"
"CHL","Chile",2020-04-03,3737,333,22,19116000,19.5,0.1,"High income","South America","South America"
"COL","Colombia",2020-04-03,1267,106,25,50883000,2.5,0,"Upper middle income","South America","South America"
"CRI","Costa Rica",2020-04-03,416,20,2,5094000,8.2,0,"Upper middle income","North America","Central America"
"CIV","Cote d'Ivoire",2020-04-03,218,24,1,26378000,0.8,0,"Lower middle income","Africa","Western Africa"
"HRV","Croatia",2020-04-03,1079,68,8,4105000,26.3,0.2,"High income","Europe","Southern Europe"
"CUB","Cuba",2020-04-03,269,36,6,11327000,2.4,0.1,"Upper middle income","North America","Caribbean"
"CYP","Cyprus",2020-04-03,396,40,11,1207000,32.8,0.9,"High income","Asia","Western Asia"
"CZE","Czech Republic",2020-04-03,4091,233,53,10709000,38.2,0.5,"High income","Europe","Eastern Europe"
"COD","Democratic Republic of the Congo",2020-04-03,134,0,13,89561000,0.1,0,"Low income","Africa","Middle Africa"
"DNK","Denmark",2020-04-03,3946,373,139,5792000,68.1,2.4,"High income","Europe","Northern Europe"
NA,"Diamond Princess Cruise Ship",2020-04-03,712,0,11,NA,NA,NA,NA,NA,NA
"DJI","Djibouti",2020-04-03,49,9,0,988000,5,0,"Lower middle income","Africa","Eastern Africa"
"DMA","Dominica",2020-04-03,12,0,0,72000,16.7,0,"Upper middle income","North America","Caribbean"
"DOM","Dominican Republic",2020-04-03,1488,108,68,10848000,13.7,0.6,"Upper middle income","North America","Caribbean"
"ECU","Ecuador",2020-04-03,3368,205,145,17643000,19.1,0.8,"Upper middle income","South America","South America"
"EGY","Egypt",2020-04-03,985,120,66,102334000,1,0.1,"Lower middle income","Africa","Northern Africa"
"SLV","El Salvador",2020-04-03,46,5,2,6486000,0.7,0,"Lower middle income","North America","Central America"
"GNQ","Equatorial Guinea",2020-04-03,16,1,0,1403000,1.1,0,"Upper middle income","Africa","Middle Africa"
"ERI","Eritrea",2020-04-03,22,0,0,3546000,0.6,0,"Low income","Africa","Eastern Africa"
"EST","Estonia",2020-04-03,961,103,12,1327000,72.4,0.9,"High income","Europe","Northern Europe"
"SWZ","Eswatini",2020-04-03,9,0,0,1160000,0.8,0,"Lower middle income","Africa","Southern Africa"
"ETH","Ethiopia",2020-04-03,35,6,0,114964000,0,0,"Low income","Africa","Eastern Africa"
"FJI","Fiji",2020-04-03,7,0,0,896000,0.8,0,"Upper middle income","Oceania","Melanesia"
"FIN","Finland",2020-04-03,1615,97,20,5541000,29.1,0.4,"High income","Europe","Northern Europe"
"FRA","France",2020-04-03,65202,5273,6520,65274000,99.9,10,"High income","Europe","Western Europe"
"GAB","Gabon",2020-04-03,21,0,1,2226000,0.9,0,"Upper middle income","Africa","Middle Africa"
"GEO","Georgia",2020-04-03,155,21,0,3989000,3.9,0,"Upper middle income","Asia","Western Asia"
"DEU","Germany",2020-04-03,91159,6365,1275,83784000,108.8,1.5,"High income","Europe","Western Europe"
"GHA","Ghana",2020-04-03,205,1,5,31073000,0.7,0,"Lower middle income","Africa","Western Africa"
"GRC","Greece",2020-04-03,1613,69,63,10423000,15.5,0.6,"High income","Europe","Southern Europe"
"GRD","Grenada",2020-04-03,12,2,0,113000,10.6,0,"Upper middle income","North America","Caribbean"
"GTM","Guatemala",2020-04-03,50,3,1,17916000,0.3,0,"Upper middle income","North America","Central America"
"GIN","Guinea",2020-04-03,73,21,0,13133000,0.6,0,"Low income","Africa","Western Africa"
"GNB","Guinea Bissau",2020-04-03,15,6,0,1968000,0.8,0,"Low income","Africa","Western Africa"
"GUY","Guyana",2020-04-03,23,4,4,787000,2.9,0.5,"Upper middle income","South America","South America"
"HTI","Haiti",2020-04-03,18,2,0,11403000,0.2,0,"Low income","North America","Caribbean"
"VAT","Holy See (Vatican City)",2020-04-03,7,0,0,1000,700,0,NA,"Europe","Southern Europe"
"HND","Honduras",2020-04-03,222,3,15,9905000,2.2,0.2,"Lower middle income","North America","Central America"
"HKG","Hong Kong",2020-04-03,845,43,4,7497000,11.3,0.1,"High income","Asia","Eastern Asia"
"HUN","Hungary",2020-04-03,623,38,26,9660000,6.4,0.3,"High income","Europe","Eastern Europe"
"ISL","Iceland",2020-04-03,1364,45,4,341000,400,1.2,"High income","Europe","Northern Europe"
"IND","India",2020-04-03,2567,24,72,1380004000,0.2,0,"Lower middle income","Asia","Southern Asia"
"IDN","Indonesia",2020-04-03,1986,196,181,273524000,0.7,0.1,"Lower middle income","Asia","South-eastern Asia"
"IRN","Iran (Islamic Republic of)",2020-04-03,53183,2715,3294,83993000,63.3,3.9,"Upper middle income","Asia","Southern Asia"
"IRQ","Iraq",2020-04-03,820,48,54,40223000,2,0.1,"Upper middle income","Asia","Western Asia"
"IRL","Ireland",2020-04-03,4273,424,120,4938000,86.5,2.4,"High income","Europe","Northern Europe"
"ISR","Israel",2020-04-03,7428,571,40,8656000,85.8,0.5,"High income","Asia","Western Asia"
"ITA","Italy",2020-04-03,119827,4585,14681,60462000,198.2,24.3,"High income","Europe","Southern Europe"
"JAM","Jamaica",2020-04-03,47,0,3,2961000,1.6,0.1,"Upper middle income","North America","Caribbean"
"JPN","Japan",2020-04-03,3154,336,81,126476000,2.5,0.1,"High income","Asia","Eastern Asia"
"JOR","Jordan",2020-04-03,310,11,5,10203000,3,0,"Upper middle income","Asia","Western Asia"
"KAZ","Kazakhstan",2020-04-03,464,29,6,18777000,2.5,0,"Upper middle income","Asia","Central Asia"
"KEN","Kenya",2020-04-03,122,12,4,53771000,0.2,0,"Lower middle income","Africa","Eastern Africa"
"XKX","Kosovo",2020-04-03,126,1,1,1800000,7,0.1,"Upper middle income","Europe","Southern Europe"
"KWT","Kuwait",2020-04-03,417,75,0,4271000,9.8,0,"High income","Asia","Western Asia"
"KGZ","Kyrgyzstan",2020-04-03,130,14,1,6524000,2,0,"Lower middle income","Asia","Central Asia"
"LAO","Lao People's Democratic Republic",2020-04-03,10,0,0,7276000,0.1,0,"Lower middle income","Asia","South-eastern Asia"
"LVA","Latvia",2020-04-03,493,35,1,1886000,26.1,0.1,"High income","Europe","Northern Europe"
"LBN","Lebanon",2020-04-03,508,14,17,6825000,7.4,0.2,"Upper middle income","Asia","Western Asia"
"LBR","Liberia",2020-04-03,7,1,0,5058000,0.1,0,"Low income","Africa","Western Africa"
"LBY","Libya",2020-04-03,11,0,1,6871000,0.2,0,"Upper middle income","Africa","Northern Africa"
"LIE","Liechtenstein",2020-04-03,76,1,0,38000,200,0,"High income","Europe","Western Europe"
"LTU","Lithuania",2020-04-03,696,47,9,2722000,25.6,0.3,"High income","Europe","Northern Europe"
"LUX","Luxembourg",2020-04-03,2612,125,31,626000,417.3,5,"High income","Europe","Western Europe"
"MAC","Macao",2020-04-03,43,2,0,649000,6.6,0,"High income","Asia","Eastern Asia"
"MDG","Madagascar",2020-04-03,70,11,0,27691000,0.3,0,"Low income","Africa","Eastern Africa"
"CHN","Mainland China",2020-04-03,81623,34,3322,1439324000,5.7,0.2,"Upper middle income","Asia","Eastern Asia"
"MWI","Malawi",2020-04-03,3,0,0,19130000,0,0,"Low income","Africa","Eastern Africa"
"MYS","Malaysia",2020-04-03,3333,217,53,32366000,10.3,0.2,"Upper middle income","Asia","South-eastern Asia"
"MDV","Maldives",2020-04-03,19,0,0,541000,3.5,0,"Upper middle income","Asia","Southern Asia"
"MLI","Mali",2020-04-03,39,3,3,20251000,0.2,0,"Low income","Africa","Western Africa"
"MLT","Malta",2020-04-03,202,6,0,442000,45.7,0,"High income","Europe","Southern Europe"
"MRT","Mauritania",2020-04-03,6,0,1,4650000,0.1,0,"Lower middle income","Africa","Western Africa"
"MUS","Mauritius",2020-04-03,186,17,7,1272000,14.6,0.6,"Upper middle income","Africa","Eastern Africa"
"MEX","Mexico",2020-04-03,1688,178,60,128933000,1.3,0,"Upper middle income","North America","Central America"
"MCO","Monaco",2020-04-03,64,4,1,39000,164.1,2.6,"High income","Europe","Western Europe"
"MNG","Mongolia",2020-04-03,14,0,0,3278000,0.4,0,"Lower middle income","Asia","Eastern Asia"
"MNE","Montenegro",2020-04-03,174,30,2,628000,27.7,0.3,"Upper middle income","Europe","Southern Europe"
"MAR","Morocco",2020-04-03,791,83,48,36911000,2.1,0.1,"Lower middle income","Africa","Northern Africa"
"MOZ","Mozambique",2020-04-03,10,0,0,31255000,0,0,"Low income","Africa","Eastern Africa"
NA,"MS Zaandam",2020-04-03,9,0,2,NA,NA,NA,NA,NA,NA
"MMR","Myanmar",2020-04-03,20,0,1,54410000,0,0,"Lower middle income","Asia","South-eastern Asia"
"NAM","Namibia",2020-04-03,14,0,0,2541000,0.6,0,"Upper middle income","Africa","Southern Africa"
"NPL","Nepal",2020-04-03,6,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"NLD","Netherlands",2020-04-03,15821,1033,1490,17135000,92.3,8.7,"High income","Europe","Western Europe"
"NZL","New Zealand",2020-04-03,868,71,1,4822000,18,0,"High income","Oceania","Australia and New Zealand"
"NIC","Nicaragua",2020-04-03,5,0,1,6625000,0.1,0,"Lower middle income","North America","Central America"
"NER","Niger",2020-04-03,120,22,5,24207000,0.5,0,"Low income","Africa","Western Africa"
"NGA","Nigeria",2020-04-03,210,26,4,206140000,0.1,0,"Lower middle income","Africa","Western Africa"
"MKD","North Macedonia",2020-04-03,430,46,12,2083000,20.6,0.6,"Upper middle income","Europe","Southern Europe"
"NOR","Norway",2020-04-03,5370,223,59,5421000,99.1,1.1,"High income","Europe","Northern Europe"
"PSE","Occupied Palestinian Territory",2020-04-03,194,33,1,5101000,3.8,0,"Lower middle income","Asia","Western Asia"
"OMN","Oman",2020-04-03,252,21,1,5107000,4.9,0,"High income","Asia","Western Asia"
"PAK","Pakistan",2020-04-03,2818,132,41,220892000,1.3,0,"Lower middle income","Asia","Southern Asia"
"PAN","Panama",2020-04-03,1475,158,37,4315000,34.2,0.9,"High income","North America","Central America"
"PNG","Papua New Guinea",2020-04-03,1,0,0,8947000,0,0,"Lower middle income","Oceania","Melanesia"
"PRY","Paraguay",2020-04-03,92,15,3,7133000,1.3,0,"Upper middle income","South America","South America"
"PER","Peru",2020-04-03,1595,181,61,32972000,4.8,0.2,"Upper middle income","South America","South America"
"PHL","Philippines",2020-04-03,3018,385,136,109581000,2.8,0.1,"Lower middle income","Asia","South-eastern Asia"
"POL","Poland",2020-04-03,3383,437,71,37847000,8.9,0.2,"High income","Europe","Eastern Europe"
"PRT","Portugal",2020-04-03,9886,852,246,10197000,97,2.4,"High income","Europe","Southern Europe"
"QAT","Qatar",2020-04-03,1075,126,3,2881000,37.3,0.1,"High income","Asia","Western Asia"
"KOR","Republic of Korea",2020-04-03,10062,86,174,51269000,19.6,0.3,"High income","Asia","Eastern Asia"
"MDA","Republic of Moldova",2020-04-03,591,86,8,4034000,14.7,0.2,"Lower middle income","Europe","Eastern Europe"
"COG","Republic of the Congo",2020-04-03,22,0,2,5518000,0.4,0,"Lower middle income","Africa","Middle Africa"
"ROU","Romania",2020-04-03,3183,445,133,19238000,16.5,0.7,"Upper middle income","Europe","Eastern Europe"
"RUS","Russia",2020-04-03,4149,601,34,145934000,2.8,0,"Upper middle income","Europe","Eastern Europe"
"RWA","Rwanda",2020-04-03,89,5,0,12952000,0.7,0,"Low income","Africa","Eastern Africa"
"KNA","Saint Kitts and Nevis",2020-04-03,9,0,0,53000,17,0,"High income","North America","Caribbean"
"LCA","Saint Lucia",2020-04-03,13,0,0,184000,7.1,0,"Upper middle income","North America","Caribbean"
"VCT","Saint Vincent and the Grenadines",2020-04-03,3,1,0,111000,2.7,0,"Upper middle income","North America","Caribbean"
"SMR","San Marino",2020-04-03,245,0,30,34000,720.6,88.2,"High income","Europe","Southern Europe"
"SAU","Saudi Arabia",2020-04-03,2039,154,25,34814000,5.9,0.1,"High income","Asia","Western Asia"
"SEN","Senegal",2020-04-03,207,12,1,16744000,1.2,0,"Lower middle income","Africa","Western Africa"
"SRB","Serbia",2020-04-03,1476,305,39,8737000,16.9,0.4,"Upper middle income","Europe","Southern Europe"
"SYC","Seychelles",2020-04-03,10,0,0,98000,10.2,0,"High income","Africa","Eastern Africa"
"SLE","Sierra Leone",2020-04-03,2,0,0,7977000,0,0,"Low income","Africa","Western Africa"
"SGP","Singapore",2020-04-03,1114,65,5,5850000,19,0.1,"High income","Asia","South-eastern Asia"
"SVK","Slovakia",2020-04-03,450,24,1,5460000,8.2,0,"High income","Europe","Eastern Europe"
"SVN","Slovenia",2020-04-03,934,37,20,2079000,44.9,1,"High income","Europe","Southern Europe"
"SOM","Somalia",2020-04-03,7,2,0,15893000,0,0,"Low income","Africa","Eastern Africa"
"ZAF","South Africa",2020-04-03,1505,43,9,59309000,2.5,0,"Upper middle income","Africa","Southern Africa"
"ESP","Spain",2020-04-03,119199,7134,11198,46755000,254.9,24,"High income","Europe","Southern Europe"
"LKA","Sri Lanka",2020-04-03,159,8,4,21413000,0.7,0,"Upper middle income","Asia","Southern Asia"
"SDN","Sudan",2020-04-03,10,2,2,43849000,0,0,"Lower middle income","Africa","Northern Africa"
"SUR","Suriname",2020-04-03,10,0,1,587000,1.7,0.2,"Upper middle income","South America","South America"
"SWE","Sweden",2020-04-03,6131,563,358,10099000,60.7,3.5,"High income","Europe","Northern Europe"
"CHE","Switzerland",2020-04-03,19606,779,591,8655000,226.5,6.8,"High income","Europe","Western Europe"
"SYR","Syrian Arab Republic",2020-04-03,16,0,2,17501000,0.1,0,"Low income","Asia","Western Asia"
"TWN","Taiwan",2020-04-03,348,9,5,23817000,1.5,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-04-03,1978,103,19,69800000,2.8,0,"Upper middle income","Asia","South-eastern Asia"
"BHS","The Bahamas",2020-04-03,24,0,1,393000,6.1,0.3,"High income","North America","Caribbean"
"GMB","The Gambia",2020-04-03,4,0,1,2417000,0.2,0,"Low income","Africa","Western Africa"
"TLS","Timor-Leste",2020-04-03,1,0,0,1318000,0.1,0,"Lower middle income","Asia","South-eastern Asia"
"TGO","Togo",2020-04-03,40,1,3,8279000,0.5,0,"Low income","Africa","Western Africa"
"TTO","Trinidad and Tobago",2020-04-03,98,4,6,1399000,7,0.4,"High income","North America","Caribbean"
"TUN","Tunisia",2020-04-03,495,40,18,11819000,4.2,0.2,"Lower middle income","Africa","Northern Africa"
"TUR","Turkey",2020-04-03,20921,2786,425,84339000,24.8,0.5,"Upper middle income","Asia","Western Asia"
"UGA","Uganda",2020-04-03,48,3,0,45741000,0.1,0,"Low income","Africa","Eastern Africa"
"GBR","UK",2020-04-03,53699,4981,4468,67886000,79.1,6.6,"High income","Europe","Northern Europe"
"UKR","Ukraine",2020-04-03,1072,175,27,43734000,2.5,0.1,"Lower middle income","Europe","Eastern Europe"
"ARE","United Arab Emirates",2020-04-03,1264,240,9,9890000,12.8,0.1,"High income","Asia","Western Asia"
"TZA","United Republic of Tanzania",2020-04-03,20,0,1,59734000,0,0,"Low income","Africa","Eastern Africa"
"URY","Uruguay",2020-04-03,386,17,4,3474000,11.1,0.1,"High income","South America","South America"
"USA","USA",2020-04-03,276547,31937,9747,331003000,83.5,2.9,"High income","North America","Northern America"
"UZB","Uzbekistan",2020-04-03,227,22,2,33469000,0.7,0,"Lower middle income","Asia","Central Asia"
"VEN","Venezuela",2020-04-03,153,7,7,28436000,0.5,0,"Upper middle income","South America","South America"
"VNM","Vietnam",2020-04-03,237,4,0,97339000,0.2,0,"Lower middle income","Asia","South-eastern Asia"
"ZMB","Zambia",2020-04-03,39,0,1,18384000,0.2,0,"Lower middle income","Africa","Eastern Africa"
"ZWE","Zimbabwe",2020-04-03,9,0,1,14863000,0.1,0,"Lower middle income","Africa","Eastern Africa"
"AFG","Afghanistan",2020-04-04,299,18,7,38928000,0.8,0,"Low income","Asia","Southern Asia"
"ALB","Albania",2020-04-04,333,29,20,2878000,11.6,0.7,"Upper middle income","Europe","Southern Europe"
"DZA","Algeria",2020-04-04,1251,80,130,43851000,2.9,0.3,"Upper middle income","Africa","Northern Africa"
"AND","Andorra",2020-04-04,466,27,17,77000,605.2,22.1,"High income","Europe","Southern Europe"
"AGO","Angola",2020-04-04,10,2,2,32866000,0,0,"Lower middle income","Africa","Middle Africa"
"ATG","Antigua and Barbuda",2020-04-04,15,0,0,98000,15.3,0,"High income","North America","Caribbean"
"ARG","Argentina",2020-04-04,1451,186,43,45196000,3.2,0.1,"Upper middle income","South America","South America"
"ARM","Armenia",2020-04-04,770,34,7,2963000,26,0.2,"Upper middle income","Asia","Western Asia"
"AUS","Australia",2020-04-04,5550,220,30,25500000,21.8,0.1,"High income","Oceania","Australia and New Zealand"
"AUT","Austria",2020-04-04,11781,257,186,9006000,130.8,2.1,"High income","Europe","Western Europe"
"AZE","Azerbaijan",2020-04-04,521,78,5,10139000,5.1,0,"Upper middle income","Asia","Western Asia"
"BHR","Bahrain",2020-04-04,688,16,4,1702000,40.4,0.2,"High income","Asia","Western Asia"
"BGD","Bangladesh",2020-04-04,70,9,8,164689000,0,0,"Lower middle income","Asia","Southern Asia"
"BRB","Barbados",2020-04-04,52,1,0,287000,18.1,0,"High income","North America","Caribbean"
"BLR","Belarus",2020-04-04,440,89,5,9449000,4.7,0.1,"Upper middle income","Europe","Eastern Europe"
"BEL","Belgium",2020-04-04,18431,1661,1283,11590000,159,11.1,"High income","Europe","Western Europe"
"BLZ","Belize",2020-04-04,4,0,0,398000,1,0,"Upper middle income","North America","Central America"
"BEN","Benin",2020-04-04,16,0,0,12123000,0.1,0,"Low income","Africa","Western Africa"
"BTN","Bhutan",2020-04-04,5,0,0,772000,0.6,0,"Lower middle income","Asia","Southern Asia"
"BOL","Bolivia",2020-04-04,139,7,10,11673000,1.2,0.1,"Lower middle income","South America","South America"
"BIH","Bosnia and Herzegovina",2020-04-04,624,45,21,3281000,19,0.6,"Upper middle income","Europe","Southern Europe"
"BWA","Botswana",2020-04-04,4,0,1,2352000,0.2,0,"Upper middle income","Africa","Southern Africa"
"BRA","Brazil",2020-04-04,10360,1304,445,212559000,4.9,0.2,"Upper middle income","South America","South America"
"BRN","Brunei",2020-04-04,135,1,1,437000,30.9,0.2,"High income","Asia","South-eastern Asia"
"BGR","Bulgaria",2020-04-04,503,18,17,6948000,7.2,0.2,"Upper middle income","Europe","Eastern Europe"
"BFA","Burkina Faso",2020-04-04,318,16,16,20903000,1.5,0.1,"Low income","Africa","Western Africa"
"BDI","Burundi",2020-04-04,3,0,0,11891000,0,0,"Low income","Africa","Eastern Africa"
"KHM","Cambodia",2020-04-04,114,0,0,16719000,0.7,0,"Lower middle income","Asia","South-eastern Asia"
"CMR","Cameroon",2020-04-04,555,46,9,26546000,2.1,0,"Lower middle income","Africa","Middle Africa"
"CAN","Canada",2020-04-04,12978,541,218,37742000,34.4,0.6,"High income","North America","Northern America"
"CPV","Cape Verde",2020-04-04,7,1,1,556000,1.3,0.2,"Lower middle income","Africa","Western Africa"
"CAF","Central African Republic",2020-04-04,8,0,0,4830000,0.2,0,"Low income","Africa","Middle Africa"
"TCD","Chad",2020-04-04,9,1,0,16426000,0.1,0,"Low income","Africa","Middle Africa"
"CHL","Chile",2020-04-04,4161,424,27,19116000,21.8,0.1,"High income","South America","South America"
"COL","Colombia",2020-04-04,1406,139,32,50883000,2.8,0.1,"Upper middle income","South America","South America"
"CRI","Costa Rica",2020-04-04,435,19,2,5094000,8.5,0,"Upper middle income","North America","Central America"
"CIV","Cote d'Ivoire",2020-04-04,245,27,1,26378000,0.9,0,"Lower middle income","Africa","Western Africa"
"HRV","Croatia",2020-04-04,1126,47,12,4105000,27.4,0.3,"High income","Europe","Southern Europe"
"CUB","Cuba",2020-04-04,288,19,6,11327000,2.5,0.1,"Upper middle income","North America","Caribbean"
"CYP","Cyprus",2020-04-04,426,30,11,1207000,35.3,0.9,"High income","Asia","Western Asia"
"CZE","Czech Republic",2020-04-04,4472,381,59,10709000,41.8,0.6,"High income","Europe","Eastern Europe"
"COD","Democratic Republic of the Congo",2020-04-04,154,20,18,89561000,0.2,0,"Low income","Africa","Middle Africa"
"DNK","Denmark",2020-04-04,4269,323,161,5792000,73.7,2.8,"High income","Europe","Northern Europe"
NA,"Diamond Princess Cruise Ship",2020-04-04,712,0,11,NA,NA,NA,NA,NA,NA
"DJI","Djibouti",2020-04-04,50,1,0,988000,5.1,0,"Lower middle income","Africa","Eastern Africa"
"DMA","Dominica",2020-04-04,14,2,0,72000,19.4,0,"Upper middle income","North America","Caribbean"
"DOM","Dominican Republic",2020-04-04,1488,0,68,10848000,13.7,0.6,"Upper middle income","North America","Caribbean"
"ECU","Ecuador",2020-04-04,3465,97,172,17643000,19.6,1,"Upper middle income","South America","South America"
"EGY","Egypt",2020-04-04,1070,85,71,102334000,1,0.1,"Lower middle income","Africa","Northern Africa"
"SLV","El Salvador",2020-04-04,56,10,3,6486000,0.9,0,"Lower middle income","North America","Central America"
"GNQ","Equatorial Guinea",2020-04-04,16,0,0,1403000,1.1,0,"Upper middle income","Africa","Middle Africa"
"ERI","Eritrea",2020-04-04,29,7,0,3546000,0.8,0,"Low income","Africa","Eastern Africa"
"EST","Estonia",2020-04-04,1039,78,13,1327000,78.3,1,"High income","Europe","Northern Europe"
"SWZ","Eswatini",2020-04-04,9,0,0,1160000,0.8,0,"Lower middle income","Africa","Southern Africa"
"ETH","Ethiopia",2020-04-04,38,3,0,114964000,0,0,"Low income","Africa","Eastern Africa"
"FJI","Fiji",2020-04-04,12,5,0,896000,1.3,0,"Upper middle income","Oceania","Melanesia"
"FIN","Finland",2020-04-04,1882,267,25,5541000,34,0.5,"High income","Europe","Northern Europe"
"FRA","France",2020-04-04,69500,4298,7574,65274000,106.5,11.6,"High income","Europe","Western Europe"
"GAB","Gabon",2020-04-04,21,0,1,2226000,0.9,0,"Upper middle income","Africa","Middle Africa"
"GEO","Georgia",2020-04-04,162,7,1,3989000,4.1,0,"Upper middle income","Asia","Western Asia"
"DEU","Germany",2020-04-04,96092,4933,1444,83784000,114.7,1.7,"High income","Europe","Western Europe"
"GHA","Ghana",2020-04-04,205,0,5,31073000,0.7,0,"Lower middle income","Africa","Western Africa"
"GRC","Greece",2020-04-04,1673,60,68,10423000,16.1,0.7,"High income","Europe","Southern Europe"
"GRD","Grenada",2020-04-04,12,0,0,113000,10.6,0,"Upper middle income","North America","Caribbean"
"GTM","Guatemala",2020-04-04,61,11,2,17916000,0.3,0,"Upper middle income","North America","Central America"
"GIN","Guinea",2020-04-04,111,38,0,13133000,0.8,0,"Low income","Africa","Western Africa"
"GNB","Guinea Bissau",2020-04-04,18,3,0,1968000,0.9,0,"Low income","Africa","Western Africa"
"GUY","Guyana",2020-04-04,23,0,4,787000,2.9,0.5,"Upper middle income","South America","South America"
"HTI","Haiti",2020-04-04,20,2,0,11403000,0.2,0,"Low income","North America","Caribbean"
"VAT","Holy See (Vatican City)",2020-04-04,7,0,0,1000,700,0,NA,"Europe","Southern Europe"
"HND","Honduras",2020-04-04,264,42,15,9905000,2.7,0.2,"Lower middle income","North America","Central America"
"HKG","Hong Kong",2020-04-04,862,17,4,7497000,11.5,0.1,"High income","Asia","Eastern Asia"
"HUN","Hungary",2020-04-04,678,55,32,9660000,7,0.3,"High income","Europe","Eastern Europe"
"ISL","Iceland",2020-04-04,1417,53,4,341000,415.5,1.2,"High income","Europe","Northern Europe"
"IND","India",2020-04-04,3082,515,86,1380004000,0.2,0,"Lower middle income","Asia","Southern Asia"
"IDN","Indonesia",2020-04-04,2092,106,191,273524000,0.8,0.1,"Lower middle income","Asia","South-eastern Asia"
"IRN","Iran (Islamic Republic of)",2020-04-04,55743,2560,3452,83993000,66.4,4.1,"Upper middle income","Asia","Southern Asia"
"IRQ","Iraq",2020-04-04,878,58,56,40223000,2.2,0.1,"Upper middle income","Asia","Western Asia"
"IRL","Ireland",2020-04-04,4604,331,137,4938000,93.2,2.8,"High income","Europe","Northern Europe"
"ISR","Israel",2020-04-04,7851,423,44,8656000,90.7,0.5,"High income","Asia","Western Asia"
